origin_text_id;text_id;origin_text_en;text_en;label_vader
komisi ii dpr sarankan tilang elektronik dioptimalkan;komisi ii dpr saran tilang elektronik optimal;DPR Commission II recommends electronic ticketing to be optimized;dpr commiss ii recommend electron ticket optim;1
bhabinkamtibmas polsek pulau raja bripka dodi nopriadi menghimbau kepada masyarakat agar mendownload aplikasi super polri app di play store untuk mendapatkan pelayanan online sbb 1 . pengaduan masyarakat 2 . sim online 3 . pengurusan stnk 4 . tilang etle 5 . sp2hp 6 . skck;bhabinkamtibmas polsek pulau raja bripka dodi nopriadi menghimbau kepada masyarakat agar mendownload aplikasi super polri app di play store untuk dapat layan online sbb adu masyarakat sim online urus stnk tilang etle sphp skck;Bhabinkamtibmas Raja Island Police Brigadier Dodi Nopriadi appealed to the public to download the Super POLRI app in the Play Store to get online services as follows: 1. public complaints 2 . sim online 3 . stnk management 4 . ticket etle 5 . sp2hp 6 . skck;bhabinkamtibma raja island polic brigadi dodi nopriadi appeal public download super polri app play store get onlin servic follow public complaint sim onlin stnk manag ticket etl sphp skck;1
giat kampanye dan sosialisasi etle electronic traffic law enforcement kepada masyarakat kota prabumulih , selasa 8 november 2022;giat kampanye dan sosialisasi etle electronic traffic law enforcement kepada masyarakat kota prabumulih selasa november;active campaigning and dissemination of electronic traffic law enforcement to the people of Prebumulih City, Tuesday 8 November 2022;activ campaign dissemin electron traffic law enforc peopl prebumulih citi tuesday novemb;1
etle jalan tol trans sumatera kendaraan melebih batas kecepatan akan tercapture di direktorat lalu lintas polda lampung;etle jalan tol trans sumatera kendara lebih batas cepat akan tercapture di direktorat lalu lintas polda lampung;Etle Trans Sumatra Toll Road Vehicles exceeding the speed limit will be caught at the Traffic Directorate of the Lampung Regional Police;etl tran sumatra toll road vehicl exceed speed limit caught traffic director lampung region polic;0
kelopak mataku bengkak bantu doa ajalah biar ga dioprasi , soalnya sekarang jamannya etle wkwk;kelopak mata bengkak bantu doa aja biar ga dioprasi soal sekarang jaman etle wkwk;My eyelids are swollen. Just pray so that I don't have surgery, because now is the time, etle;eyelid swollen pray surgeri time etl;1
hayo jasfren , jangan sampe salah tangkep ya . sekarang menilang itu menggunakan tilang elektronik atau electronic traffic law enforvement etle lho nah peraturan ini diterapkan agar jajaran korlantas bisa memaksimallan penindakan pelanggaran nih .;hayo jasfren jangan sampe salah tangkep ya sekarang tilang itu guna tilang elektronik atau electronic traffic law enforvement etle lho nah atur ini terap agar jajar korlantas bisa memaksimallan tindak langgar nih;Come on, Jasfren, don't get me wrong. Now, ticketing is using electronic ticketing or electronic traffic law enforcing etle, you know, so this regulation is implemented so that the traffic police can maximize the enforcement of violations.;come jasfren get wrong ticket use electron ticket electron traffic law enforc etl know regul implement traffic polic maxim enforc violat;-1
korlantas polri akan memaksimalkan penggunaan kamera tilang elektronik atau etle dan kendaraan listrik untuk pengamanan dan penjagaan di acara presidensi g20 di bali . sinergi jaga kondusifitas;korlantas polri akan maksimal guna kamera tilang elektronik atau etle dan kendara listrik untuk aman dan jaga di acara presidensi g di bal sinergi jaga kondusifitas;Korlantas Polri will maximize the use of electronic or ETL ticket cameras and electric vehicles for security and guarding at the G20 presidential event in Bali. synergy to maintain conduciveness;korlanta polri maxim use electron etl ticket camera electr vehicl secur guard g presidenti event bali synergi maintain conduc;1
hallo electronic traffic law enforcement etle atau tilang elektronik adalah sistem penegakan hukum di bidang lalu lintas yang berbasis teknologi informasi dengan menggunakan kamera cctv kemudian terdata secara langsung untuk menindak pelanggar lalu lintas .;hallo electronic traffic law enforcement etle atau tilang elektronik adalah sistem tega hukum di bidang lalu lintas yang bas teknologi informasi dengan guna kamera cctv kemudian data cara langsung untuk tindak langgar lalu lintas;hello electronic traffic law enforcement etle or electronic ticketing is a law enforcement system in the field of traffic that is based on information technology using CCTV cameras then recorded directly to take action against traffic violators.;hello electron traffic law enforc etl electron ticket law enforc system field traffic base inform technolog use cctv camera record directli take action traffic violat;-1
ditlantas polda kalbar gelar talkshow tentang etle di kompas tv pontianak;ditlantas polda kalbar gelar talkshow tentang etle di kompas tv pontianak;Ditlantas Kalbar Regional Police held a talk show about etle on Kompas TV Pontianak;ditlanta kalbar region polic held talk show etl kompa tv pontianak;0
untuk menjawab keraguan soal efektivitas kamera tilang elektronik atau etle yg terpasang statis di beberapa wilayah jalan arteri dan tol . ditlantas polda metro jaya telah meluncurkan etle mobile . etle mobile rencananya juga akan dioperasikan di ruas jalan tol .;untuk jawab ragu soal efektivitas kamera tilang elektronik atau etle yg pasang statis di beberapa wilayah jalan arteri dan tol ditlantas polda metro jaya telah luncur etle mobile etle mobile rencana juga akan operasi di ruas jalan tol;to answer doubts about the effectiveness of electronic or ETL ticket cameras that are installed statically in several arterial and toll road areas. Ditlantas Polda Metro Jaya has launched etle mobile. etle mobile is also planned to be operated on toll roads.;answer doubt effect electron etl ticket camera instal static sever arteri toll road area ditlanta polda metro jaya launch etl mobil etl mobil also plan oper toll road;-1
kan masih ad tilang elektronik . pelanggaran yg nampak harus di tertipkan .;kan masih ad tilang elektronik langgar yg nampak harus di tip;there's still an electronic ticket. Visible violations must be dealt with.;still electron ticket visibl violat must dealt;-1
jumlah dakgar lantas selama 1x24 jam yang tercapture kamera etle;jumlah dakgar lantas lama x jam yang tercapture kamera etle;the number of direct recordings for 1x24 hours captured by etle cameras;number direct record x hour captur etl camera;1
etle mobile presisi polda jateng penindakan pelanggaran lalu lintas secara elektronik dan humanis dengan menggunakan teknologi . jepret jepreett silahkan lanjut aja gpp tapi 2 hari lagi surat tilangnya dikirim ke rumah . makasiih .;etle mobile presisi polda jateng tindak langgar lalu lintas cara elektronik dan humanis dengan guna teknologi jepret jepreett silah lanjut aja gpp tapi hari lagi surat tilang kirim ke rumah makasiih;etle mobile precision Central Java Regional Police enforcement of traffic violations electronically and humanely by using technology. snap jepreett, please continue, it's okay but in 2 more days the ticket letter will be sent to the house. thanks .;etl mobil precis central java region polic enforc traffic violat electron human use technolog snap jepreett pleas continu okay day ticket letter sent hous thank;1
tindaklanjuti perintah kapolri hapus tilang manual , kapolda banten irjen pol . prof . dr . rudy heriyanto launching etle portable ditlantas pada selasa 1312 polda banten;tindaklanjuti perintah kapolri hapus tilang manual kapolda banten irjen pol prof dr rudy heriyanto launching etle portable ditlantas pada selasa polda banten;following up on the order from the chief of police to remove manual tickets, the chief of regional police of Banten, the Inspector General of Police. prof. dr. Rudy Heriyanto launching Etle Portable was carried out on Tuesday 1312 by the Banten Police;follow order chief polic remov manual ticket chief region polic banten inspector gener polic prof dr rudi heriyanto launch etl portabl carri tuesday banten polic;0
gampang mengurangi kemacetan bikin kendaraan pesawat terbang mini . itudi luar negeri ada loch mobil bisa terbang lupa saya di negara mana . enak kena tilang elektronik . maaf netizen kecil;gampang kurang macet bikin kendara pesawat terbang mini itudi luar negeri ada loch mobil bisa terbang lupa saya di negara mana enak kena tilang elektronik maaf netizen kecil;it's easy to reduce traffic jams by making mini airplane vehicles. that abroad there are loch cars can fly forget which country I'm in. it's good to be fined electronics. sorry little netizen;easi reduc traffic jam make mini airplan vehicl abroad loch car fli forget countri good fine electron sorri littl netizen;1
download sekarang polri super app dengan mendownload aplikasi ini , dapatkan informasi mengenai layanan utama kepolisian yaitu informasi daerah rawan , pengaduan masyarakat , pengurusan sim , stnk dan skck secara online , informasi etilang , hingga informasi mengenai pos polisi .;download sekarang polri super app dengan mendownload aplikasi ini dapat informasi kena layan utama polisi yaitu informasi daerah rawan adu masyarakat urus sim stnk dan skck cara online informasi etilang hingga informasi kena pos polisi;download now the police super app by downloading this application, get information about the main police services, namely information on vulnerable areas, public complaints, online management of sims, stnk and skck, etilang information, to information about police posts.;download polic super app download applic get inform main polic servic name inform vulner area public complaint onlin manag sim stnk skck etilang inform inform polic post;1
jadi org org itu pasti merasa senang karena dia telah melanggar namun tidak di hukum , mereka melupakan bahwa ada cctv yang melihat pelanggaran lalu lintas mereka , dan di kirimlah surat tilang elektronik sama seperti kasus ini , mungkin merek masih merasa senang dan melupakan;jadi org org itu pasti rasa senang karena dia telah langgar namun tidak di hukum mereka lupa bahwa ada cctv yang lihat langgar lalu lintas mereka dan di kirim surat tilang elektronik sama seperti kasus ini mungkin merek masih rasa senang dan lupa;so those people must be happy because they have violated but were not punished, they forgot that there was CCTV that saw their traffic violation, and sent an electronic ticket just like this case, maybe they still feel happy and forget;peopl must happi violat punish forgot cctv saw traffic violat sent electron ticket like case mayb still feel happi forget;1
yg pegang tilang elektronik . orang control . sekali orang var juga . fleksibel maap ngor;yg pegang tilang elektronik orang control sekali orang var juga fleksibel maap ngor;those who hold electronic tickets. control person. once var people too . flexible, sorry;hold electron ticket control person var peopl flexibl sorri;1
cuan cuan cuan . sejak penerapan etilang tara ningali polantas , kamarana;cuan cuan cuan sejak terap etilang tara ningali polantas kamarana;cuan cuan cuan. since the implementation of etilang tara ningali Polantas, Kamarana;cuan cuan cuan sinc implement etilang tara ningali polanta kamarana;0
dari taun kemaren ngomong gitu , etilang bla la la tp prakteknya bnyk bapak2 bawa buku ngumpet dibelakang pohon , diujung jalur busway .;dari taun kemaren ngomong gitu etilang bla la la tp praktek bnyk bapak bawa buku ngumpet belakang pohon ujung jalur busway;since last year I said that, etilang blah la la but in practice many gentlemen bring books to hide behind trees, at the end of the busway lane.;sinc last year said etilang blah la la practic mani gentlemen bring book hide behind tree end busway lane;-1
personil lalu lintas polres badung melaksanakan teguran secara humanis kepada masyarakat yang tidak mempergunakan helm . .;personil lalu lintas polres badung laksana tegur cara humanis kepada masyarakat yang tidak guna helm;Badung Police traffic personnel carry out a humane warning to people who do not use helmets. .;badung polic traffic personnel carri human warn peopl use helmet;-1
barangkali ada yang pernah ngalamin , dapet etilang dikirim ke rumah , tapi bukan saya yang melanggar , dan motornga juga bukan motor saya , sepertinya sistem nya salah baca plat nomor gitu . kita harus gimana ya barangkali ada yang tahu . cc , mbok bisa bantu;barangkali ada yang pernah ngalamin dapet etilang kirim ke rumah tapi bukan saya yang langgar dan motornga juga bukan motor saya seperti sistem nya salah baca plat nomor gitu kita harus gimana ya barangkali ada yang tahu cc mbok bisa bantu;maybe someone has experienced this, got an etilang sent to their house, but it wasn't me who violated it, and the motorbike wasn't mine either, it seems the system read the license plate wrong. what should we do, maybe someone knows. cc, maybe you can help;mayb someon experienc got etilang sent hous violat motorbik mine either seem system read licens plate wrong mayb someon know cc mayb help;1
jatah tilang ditempat berubah jadi etle . maka e kerjanya setengah hati .;jatah tilang tempat ubah jadi etle maka e kerja tengah hati;ticket rations on the spot changed to etle . then e work half heartedly.;ticket ration spot chang etl e work half heartedli;0
sejumlah tokoh masyarakat antusias hadiri sosialisasi etle di kantor camat plakat tinggi;jumlah tokoh masyarakat antusias hadir sosialisasi etle di kantor camat plakat tinggi;a number of community leaders enthusiastically attended the etle socialization at the subdistrict head's office;number commun leader enthusiast attend etl social subdistrict head offic;1
pemkot dan polres metro tangerang kota akan kerja sama pengadaan etle di2023;pemkot dan polres metro tangerang kota akan kerja sama ada etle di;the city administration and the Tangerang city metro police will cooperate in procuring etle in 2023;citi administr tangerang citi metro polic cooper procur etl;0
karena sering latah maka skrg isilop menerapkan sistem etilang . e tilang e tilang .;karena sering latah maka skrg isilop terap sistem etilang e tilang e tilang;because he is often talkative, now Isilop applies the etilang system. e ticket e ticket .;often talk isilop appli etilang system e ticket e ticket;0
membayangkan polisi menilang 10 ribu pelanggaran tanpa kamera etle;bayang polisi tilang ribu langgar tanpa kamera etle;imagine the police ticketing 10 thousand violations without etle cameras;imagin polic ticket thousand violat without etl camera;-1
polres sukoharjo operasikan 11 kamera etle statis di ruang tmc republika;polres sukoharjo operasi kamera etle statis di ruang tmc republika;Sukoharjo Polres operates 11 static ETL cameras in the Republika TMC room;sukoharjo polr oper static etl camera republika tmc room;0
bhabinkamtibmas polsek pulau raja aipda sunarso menghimbau kepada masyarakat agar mendownload aplikasi super polri app di play store untuk mendapatkan pelayanan online sbb 1 . pengaduan masyarakat 2 . sim online 3 . pengurusan stnk online 4 . tilang etle 5 . sp2hp 6 . skck;bhabinkamtibmas polsek pulau raja aipda sunarso menghimbau kepada masyarakat agar mendownload aplikasi super polri app di play store untuk dapat layan online sbb adu masyarakat sim online urus stnk online tilang etle sphp skck;Bhabinkamtibmas Raja Island Police, Aipda Sunarso appealed to the public to download the Super POLRI app in the Play Store to get online services as follows: 1. public complaints 2 . sim online 3 . online stnk management 4 . ticket etle 5 . sp2hp 6 . skck;bhabinkamtibma raja island polic aipda sunarso appeal public download super polri app play store get onlin servic follow public complaint sim onlin onlin stnk manag ticket etl sphp skck;1
terus gimana tilang elektronik ntar kalau masyarakatnya kagamau difoto;terus gimana tilang elektronik ntar kalau masyarakat kagamau foto;then what about electronic fines later if the people don't want to be photographed;electron fine later peopl want photograph;-1
cara bayar denda tilang etle , bisa di bank atau website;cara bayar denda tilang etle bisa di bank atau website;how to pay a ticket fine, it can be at a bank or website;pay ticket fine bank websit;1
polisi mempersilakan warga tersebut untuk mengonfirmasi salah tilang itu ke posko etle di jl mt haryono , jakarta selatan .;polisi sila warga sebut untuk konfirmasi salah tilang itu ke posko etle di jl mt haryono jakarta selatan;the police invited the resident to confirm that the ticket was wrong at the etle post on jl mt haryono, south jakarta.;polic invit resid confirm ticket wrong etl post jl mt haryono south jakarta;-1
pake waze dikasi tau klo ada etle terus pelanin aja , tapi ga perlu ampe batas maksimum kok kyk 80an , di mbz aja 100120an nga kena etle gw ampir tiap minggu ke jkt . malah gw sering liat di mbz pajero ama fortuner pada lewat bahu jalan 140an;pake waze kasi tau klo ada etle terus pelanin aja tapi ga perlu ampe batas maksimum kok kyk an di mbz aja an nga kena etle gw ampir tiap minggu ke jkt malah gw sering liat di mbz pajero ama fortuner pada lewat bahu jalan an;Using waze, you know if there's an Etle, just slow it down, but you don't need to reach the maximum limit, it's like 80s, on MBZ it's just 100120s, I don't get Etle, I'm almost every week to jkt. In fact, I often see the MBZ Pajero and Fortuner on the 140s on the shoulder of the road;use waze know etl slow need reach maximum limit like mbz get etl almost everi week jkt fact often see mbz pajero fortun shoulder road;1
kesadaran bayar denda tilang etle masih rendah , 2 ribuan kendaraan di bengkulu masih diblokir;sadar bayar denda tilang etle masih rendah ribu kendara di bengkulu masih blokir;awareness of paying ticket fines is still low, 2 thousands of vehicles in Bengkulu are still blocked;awar pay ticket fine still low thousand vehicl bengkulu still block;-1
langkah yg baik dan tepat . dengan adanya etilang ini lebih efektif dan tertib;langkah yg baik dan tepat dengan ada etilang ini lebih efektif dan tertib;good and right step with this etilang more effective and orderly;good right step etilang effect orderli;1
rek ada sg prnh kena etilang ta aku nanya poo , ini aku ws bayar via online trf 500k , tgl 22 , nah trs ini ak kudu lapo maneh ya klo lapor , lapor e ke sp di tutor bayar e yg terakhir kek gt , tp so far ak gada barang bukti sg disita . trs sidangku jg terakhir cont .;rek ada sg prnh kena etilang ta aku nanya poo ini aku ws bayar via online trf k tgl nah trs ini ak kudu lapo maneh ya klo lapor lapor e ke sp di tutor bayar e yg akhir kek gt tp so far ak gada barang bukti sg sita trs sidang jg akhir cont;I haven't gotten a ticket, I asked poo, I was able to pay via online trf 500k, on the 22nd, so I have to report it anyway, if I report it, I'll report it to SP at the tutor, I'll pay the last one, but so far I don't have any evidence confiscated. then my trial was also the last cont.;gotten ticket ask poo abl pay via onlin trf k nd report anyway report report sp tutor pay last one far evid confisc trial also last cont;-1
satlantas polres tangerang selatan siap lakukan tilangetle;satlantas polres tangerang selatan siap laku tilangetle;Satlantas Polres Tangerang Selatan is ready to do ticketing;satlanta polr tangerang selatan readi ticket;1
koyoke ora mungkin , wong suroboyo karawang wae saya pernah 7 jam , padahal kecepatan hampir selalu di atas 150kmj saat tilang elektronik belum diterapkan . . belum lagi kalau sudah masuk tol cikampek pasti banyak ketemu transformers .;koyoke ora mungkin wong suroboyo karawang wae saya pernah jam padahal cepat hampir selalu di atas kmj saat tilang elektronik belum terap belum lagi kalau sudah masuk tol cikampek pasti banyak ketemu transformers;koyoke or maybe, wong suroboyo karawang wae I had 7 hours, even though the speed was almost always above 150kmh when the electronic ticket had not been implemented. . Not to mention, if you enter the Cikampek toll road, you will definitely meet a lot of transformers.;koyok mayb wong suroboyo karawang wae hour even though speed almost alway kmh electron ticket implement mention enter cikampek toll road definit meet lot transform;1
humas polres pakpak bharat personil satlantas polres pakpak bharat melakukan apel sebelum melaksanakan pengaturan lalu lintas , dalam apel tersebut ditekan kan agar tidak ada yang melakukan tilang manual melainkan etilang guna mendukung program kapolri menuju presisi .;humas polres pakpak bharat personil satlantas polres pakpak bharat laku apel belum laksana atur lalu lintas dalam apel sebut tekan kan agar tidak ada yang laku tilang manual lain etilang guna dukung program kapolri tuju presisi;Public Relations of the Pakpak Bharat Police, Satlantas Polres Pakpak Bharat conducted a rally before carrying out traffic management, in the meeting it was emphasized that no one would issue manual tickets but etilang to support the National Police Chief's program towards precision.;public relat pakpak bharat polic satlanta polr pakpak bharat conduct ralli carri traffic manag meet emphas one would issu manual ticket etilang support nation polic chief program toward precis;1
bhabinkamtibmas polsek blahbatuh sosialisasikan etle;bhabinkamtibmas polsek blahbatuh sosialisasi etle;Bhabinkamtibmas Polsek Blahbatuh socialize etle;bhabinkamtibma polsek blahbatuh social etl;0
satlantas polrestabes surabaya melaksanakan penindakan etle terhadap massa aksi unjuk rasa yang melakukan pelanggaran lalu lintas pd tanggal 15 desember 2022;satlantas polrestabes surabaya laksana tindak etle hadap massa aksi unjuk rasa yang laku langgar lalu lintas pd tanggal desember;Satlantas Polrestabes Surabaya took action against the demonstrators who committed traffic violations on December 15, 2022;satlanta polrestab surabaya took action demonstr commit traffic violat decemb;-1
pengadaan etle dit lantas polda bengkulu tahun 2022 . 01dec , trend;ada etle dit lantas polda bengkulu tahun dec trend;Procurement of etle dit then Bengkulu Regional Police in 2022. 01dec , trends;procur etl dit bengkulu region polic dec trend;0
ditlantas polda riau terapkan etle mobile handheld;ditlantas polda riau terap etle mobile handheld;ditlantas riau regional police apply etle mobile handheld;ditlanta riau region polic appli etl mobil handheld;0
polres tangerang selatan operasikan kendaraan etlemobile;polres tangerang selatan operasi kendara etlemobile;south tangerang police operate etlemobile vehicles;south tangerang polic oper etlemobil vehicl;0
ditlantas polda sumut tambah 5 etlemobile;ditlantas polda sumut tambah etlemobile;ditlantas North Sumatra Police added 5 etlemobile;ditlanta north sumatra polic ad etlemobil;0
tilang etle diberlakukan ketika ada kegiatan , termasuk suporter;tilang etle laku ketika ada giat masuk suporter;Etle tickets are enforced when there are activities, including supporters;etl ticket enforc activ includ support;1
selalu tertib berlalulintas yo ges , damanapun itu . etle mobile sudah berlaku hlo . loc jembatan bendungan sc fb kulon progo . .;selalu tertib berlalulintas yo ges damanapun itu etle mobile sudah laku hlo loc jembatan bendung sc fb kulon progo;always orderly traffic yo geez, wherever it is. etle mobile already applies hlo. loc dam bridge sc fb kulon progo. .;alway orderli traffic yo geez wherev etl mobil alreadi appli hlo loc dam bridg sc fb kulon progo;0
polda metro melengkapi mobil tilang elektronik dengan kecerdasanbuatan;polda metro lengkap mobil tilang elektronik dengan kecerdasanbuatan;Polda Metro equips electronic speeding cars with artificial intelligence;polda metro equip electron speed car artifici intellig;1
hahaha . itu mah takut kena tilang elektronik ya;hahaha itu mah takut kena tilang elektronik ya;ha ha ha . I'm afraid I'll get an electronic ticket;ha ha ha afraid get electron ticket;1
